Carga;Campus;Arestas;Des_Aresta;Cod_Aresta;Op
subLeste;Leste;s03t01;CF;1;1
subLeste;Leste;s03t03;CF;1;1
subLeste;Leste;s03t09;CF;1;1
subOeste;Oeste;s01t01;LE;0;1
s03t03;Leste;s03t04;LE;0;1
s03t04;Leste;s03t05;LE;0;1
s03t05;Leste;s04t03;LE;0;1
s03t05;Leste;s04t04;LE;0;1
s04t01;Leste;;;;
s04t02;Leste;s04t01;LE;0;1
s04t03;Leste;s04t02;LE;0;1
s04t04;Leste;s04t05;LE;0;1
s04t05;Leste;s05t01;LE;0;1
s04t05;Leste;s03t06;LE;0;1
s03t06;Leste;s03t07;LE;0;1
s03t07;Leste;s03t08;LE;0;1
s03t08;Leste;;;;
s05t01;Leste;s05t02;LE;0;1
s05t02;Leste;s05t03;CF;1;1
s05t03;Leste;s05t04;LE;0;1
s05t04;Leste;s05t05;LE;0;1
s05t05;Leste;s05t06;LE;0;1
s05t06;Leste;s05t07;LE;0;1
s05t07;Leste;;;;
s03t09;Leste;s03t10;LE;0;1
s03t10;Leste;s03t11;LE;0;1
s03t11;Leste;s03t12;CF;1;1
s03t11;Leste;s03t14;CF;1;1
s03t12;Leste;s03t13;LE;1;1
s03t13;Leste;;;;
s03t14;Leste;s03t15;CF;1;1
s03t15;Leste;s03t16;LE;0;1
s03t16;Leste;;;;
s01t01;Oeste;s01t02;LE;0;1
s01t01;Oeste;s01t03;LE;0;1
s01t01;Oeste;s01t04;LE;0;1
s01t02;Oeste;s02t01;LE;0;1
s01t03;Oeste;;;;
s02t01;Oeste;s02t02;LE;0;1
s02t02;Oeste;s02t03;LE;0;1
s02t03;Oeste;;;;1
s01t04;Oeste;s01t05;LE;0;1
s01t05;Oeste;s01t06;LE;0;1
s01t06;Oeste;s01t07;LE;0;1
s01t07;Oeste;;;;
s03t01;Leste;;;;
